Age,Fare,Pclass,Embarked,Male,Parch,SibSp,Survived
22,7.25,3,S,1,0,1,0
38,71.2833,1,C,0,0,1,1
26,7.925,3,S,0,0,0,1
35,53.1,1,S,0,0,1,1
35,8.05,3,S,1,0,0,0
,8.4583,3,Q,1,0,0,0
54,51.8625,1,S,1,0,0,0
2,21.075,3,S,1,1,3,0
27,11.1333,3,S,0,2,0,1
14,30.0708,2,C,0,0,1,1
4,16.7,3,S,0,1,1,1
58,26.55,1,S,0,0,0,1
20,8.05,3,S,1,0,0,0
39,31.275,3,S,1,5,1,0
14,7.8542,3,S,0,0,0,0
55,16,2,S,0,0,0,1
2,29.125,3,Q,1,1,4,0
,13,2,S,1,0,0,1
31,18,3,S,0,0,1,0
,7.225,3,C,0,0,0,1
35,26,2,S,1,0,0,0
34,13,2,S,1,0,0,1
15,8.0292,3,Q,0,0,0,1
28,35.5,1,S,1,0,0,1
8,21.075,3,S,0,1,3,0
38,31.3875,3,S,0,5,1,1
,7.225,3,C,1,0,0,0
19,263,1,S,1,2,3,0
,7.8792,3,Q,0,0,0,1
,7.8958,3,S,1,0,0,0
40,27.7208,1,C,1,0,0,0
,146.5208,1,C,0,0,1,1
,7.75,3,Q,0,0,0,1
66,10.5,2,S,1,0,0,0
28,82.1708,1,C,1,0,1,0
42,52,1,S,1,0,1,0
,7.2292,3,C,1,0,0,1
21,8.05,3,S,1,0,0,0
18,18,3,S,0,0,2,0
14,11.2417,3,C,0,0,1,1
40,9.475,3,S,0,0,1,0
27,21,2,S,0,0,1,0
,7.8958,3,C,1,0,0,0
3,41.5792,2,C,0,2,1,1
19,7.8792,3,Q,0,0,0,1
,8.05,3,S,1,0,0,0
,15.5,3,Q,1,0,1,0
,7.75,3,Q,0,0,0,1
,21.6792,3,C,1,0,2,0
18,17.8,3,S,0,0,1,0
7,39.6875,3,S,1,1,4,0
21,7.8,3,S,1,0,0,0
49,76.7292,1,C,0,0,1,1
29,26,2,S,0,0,1,1
65,61.9792,1,C,1,1,0,0
,35.5,1,S,1,0,0,1
21,10.5,2,S,0,0,0,1
28.5,7.2292,3,C,1,0,0,0
5,27.75,2,S,0,2,1,1
11,46.9,3,S,1,2,5,0
22,7.2292,3,C,1,0,0,0
38,80,1,,0,0,0,1
45,83.475,1,S,1,0,1,0
4,27.9,3,S,1,2,3,0
,27.7208,1,C,1,0,0,0
,15.2458,3,C,1,1,1,1
29,10.5,2,S,0,0,0,1
19,8.1583,3,S,1,0,0,0
17,7.925,3,S,0,2,4,1
26,8.6625,3,S,1,0,2,0
32,10.5,2,S,1,0,0,0
16,46.9,3,S,0,2,5,0
21,73.5,2,S,1,0,0,0
26,14.4542,3,C,1,0,1,0
32,56.4958,3,S,1,0,0,1
25,7.65,3,S,1,0,0,0
,7.8958,3,S,1,0,0,0
,8.05,3,S,1,0,0,0
0.83,29,2,S,1,2,0,1
30,12.475,3,S,0,0,0,1
22,9,3,S,1,0,0,0
29,9.5,3,S,1,0,0,1
,7.7875,3,Q,0,0,0,1
28,47.1,1,S,1,0,0,0
17,10.5,2,S,0,0,0,1
33,15.85,3,S,0,0,3,1
16,34.375,3,S,1,3,1,0
,8.05,3,S,1,0,0,0
23,263,1,S,0,2,3,1
24,8.05,3,S,1,0,0,0
29,8.05,3,S,1,0,0,0
20,7.8542,3,S,1,0,0,0
46,61.175,1,S,1,0,1,0
26,20.575,3,S,1,2,1,0
59,7.25,3,S,1,0,0,0
,8.05,3,S,1,0,0,0
71,34.6542,1,C,1,0,0,0
23,63.3583,1,C,1,1,0,1
34,23,2,S,0,1,0,1
34,26,2,S,1,0,1,0
28,7.8958,3,S,0,0,0,0
,7.8958,3,S,1,0,0,0
21,77.2875,1,S,1,1,0,0
33,8.6542,3,S,1,0,0,0
37,7.925,3,S,1,0,2,0
28,7.8958,3,S,1,0,0,0
21,7.65,3,S,0,0,0,1
,7.775,3,S,1,0,0,1
38,7.8958,3,S,1,0,0,0
,24.15,3,Q,0,0,1,1
47,52,1,S,1,0,0,0
14.5,14.4542,3,C,0,0,1,0
22,8.05,3,S,1,0,0,0
20,9.825,3,S,0,0,1,0
17,14.4583,3,C,0,0,0,0
21,7.925,3,S,1,0,0,0
70.5,7.75,3,Q,1,0,0,0
29,21,2,S,1,0,1,0
24,247.5208,1,C,1,1,0,0
2,31.275,3,S,0,2,4,0
21,73.5,2,S,1,0,2,0
,8.05,3,S,1,0,0,0
32.5,30.0708,2,C,1,0,1,0
32.5,13,2,S,0,0,0,1
54,77.2875,1,S,1,1,0,0
12,11.2417,3,C,1,0,1,1
,7.75,3,Q,1,0,0,0
24,7.1417,3,S,1,0,0,1
,22.3583,3,C,0,1,1,1
45,6.975,3,S,1,0,0,0
33,7.8958,3,C,1,0,0,0
20,7.05,3,S,1,0,0,0
47,14.5,3,S,0,0,1,0
29,26,2,S,0,0,1,1
25,13,2,S,1,0,0,0
23,15.0458,2,C,1,0,0,0
19,26.2833,1,S,0,2,0,1
37,53.1,1,S,1,0,1,0
16,9.2167,3,S,1,0,0,0
24,79.2,1,C,1,0,0,0
,15.2458,3,C,0,2,0,0
22,7.75,3,S,0,0,0,1
24,15.85,3,S,0,0,1,1
19,6.75,3,Q,1,0,0,0
18,11.5,2,S,1,0,0,0
19,36.75,2,S,1,1,1,0
27,7.7958,3,S,1,0,0,1
9,34.375,3,S,0,2,2,0
36.5,26,2,S,1,2,0,0
42,13,2,S,1,0,0,0
51,12.525,2,S,1,0,0,0
22,66.6,1,S,0,0,1,1
55.5,8.05,3,S,1,0,0,0
40.5,14.5,3,S,1,2,0,0
,7.3125,3,S,1,0,0,0
51,61.3792,1,C,1,1,0,0
16,7.7333,3,Q,0,0,0,1
30,8.05,3,S,1,0,0,0
,8.6625,3,S,1,0,0,0
,69.55,3,S,1,2,8,0
44,16.1,3,S,1,1,0,0
40,15.75,2,S,0,0,0,1
26,7.775,3,S,1,0,0,0
17,8.6625,3,S,1,0,0,0
1,39.6875,3,S,1,1,4,0
9,20.525,3,S,1,2,0,1
,55,1,S,0,1,0,1
45,27.9,3,S,0,4,1,0
,25.925,1,S,1,0,0,0
28,56.4958,3,S,1,0,0,0
61,33.5,1,S,1,0,0,0
4,29.125,3,Q,1,1,4,0
1,11.1333,3,S,0,1,1,1
21,7.925,3,S,1,0,0,0
56,30.6958,1,C,1,0,0,0
18,7.8542,3,S,1,1,1,0
,25.4667,3,S,1,1,3,0
50,28.7125,1,C,0,0,0,0
30,13,2,S,1,0,0,0
36,0,3,S,1,0,0,0
,69.55,3,S,0,2,8,0
,15.05,2,C,1,0,0,0
9,31.3875,3,S,1,2,4,0
1,39,2,S,1,1,2,1
4,22.025,3,S,0,2,0,1
,50,1,S,1,0,0,0
,15.5,3,Q,0,0,1,1
45,26.55,1,S,1,0,0,1
40,15.5,3,Q,1,1,1,0
36,7.8958,3,S,1,0,0,0
32,13,2,S,0,0,0,1
19,13,2,S,1,0,0,0
19,7.8542,3,S,0,0,1,1
3,26,2,S,1,1,1,1
44,27.7208,1,C,0,0,0,1
58,146.5208,1,C,0,0,0,1
,7.75,3,Q,1,0,0,0
42,8.4042,3,S,1,1,0,0
,7.75,3,Q,0,0,0,1
24,13,2,S,0,0,0,0
28,9.5,3,S,1,0,0,0
,69.55,3,S,1,2,8,0
34,6.4958,3,S,1,0,0,0
45.5,7.225,3,C,1,0,0,0
18,8.05,3,S,1,0,0,1
2,10.4625,3,S,0,1,0,0
32,15.85,3,S,1,0,1,0
26,18.7875,3,C,1,0,0,1
16,7.75,3,Q,0,0,0,1
40,31,1,C,1,0,0,1
24,7.05,3,S,1,0,0,0
35,21,2,S,0,0,0,1
22,7.25,3,S,1,0,0,0
30,13,2,S,1,0,0,0
,7.75,3,Q,1,0,1,0
31,113.275,1,C,0,0,1,1
27,7.925,3,S,0,0,0,1
42,27,2,S,1,0,1,0
32,76.2917,1,C,0,0,0,1
30,10.5,2,S,1,0,0,0
16,8.05,3,S,1,0,0,1
27,13,2,S,1,0,0,0
51,8.05,3,S,1,0,0,0
,7.8958,3,S,1,0,0,0
38,90,1,S,1,0,1,1
22,9.35,3,S,1,0,0,0
19,10.5,2,S,1,0,0,1
20.5,7.25,3,S,1,0,0,0
18,13,2,S,1,0,0,0
,25.4667,3,S,0,1,3,0
35,83.475,1,S,0,0,1,1
29,7.775,3,S,1,0,0,0
59,13.5,2,S,1,0,0,0
5,31.3875,3,S,0,2,4,1
24,10.5,2,S,1,0,0,0
,7.55,3,S,0,0,0,0
44,26,2,S,1,0,1,0
8,26.25,2,S,0,2,0,1
19,10.5,2,S,1,0,0,0
33,12.275,2,S,1,0,0,0
,14.4542,3,C,0,0,1,0
,15.5,3,Q,0,0,1,1
29,10.5,2,S,1,0,0,0
22,7.125,3,S,1,0,0,0
30,7.225,3,C,1,0,0,0
44,90,1,Q,1,0,2,0
25,7.775,3,S,0,0,0,0
24,14.5,2,S,0,2,0,1
37,52.5542,1,S,1,1,1,1
54,26,2,S,1,0,1,0
,7.25,3,S,1,0,0,0
29,10.4625,3,S,0,1,1,0
62,26.55,1,S,1,0,0,0
30,16.1,3,S,1,0,1,0
41,20.2125,3,S,0,2,0,0
29,15.2458,3,C,0,2,0,1
,79.2,1,C,0,0,0,1
30,86.5,1,S,0,0,0,1
35,512.3292,1,C,0,0,0,1
50,26,2,S,0,1,0,1
,7.75,3,Q,1,0,0,0
3,31.3875,3,S,1,2,4,1
52,79.65,1,S,1,1,1,0
40,0,1,S,1,0,0,0
,7.75,3,Q,0,0,0,0
36,10.5,2,S,1,0,0,0
16,39.6875,3,S,1,1,4,0
25,7.775,3,S,1,0,1,1
58,153.4625,1,S,0,1,0,1
35,135.6333,1,S,0,0,0,1
,31,1,S,1,0,0,0
25,0,3,S,1,0,0,1
41,19.5,2,S,0,1,0,1
37,29.7,1,C,1,1,0,0
,7.75,3,Q,0,0,0,1
63,77.9583,1,S,0,0,1,1
45,7.75,3,S,0,0,0,0
,0,2,S,1,0,0,0
7,29.125,3,Q,1,1,4,0
35,20.25,3,S,0,1,1,1
65,7.75,3,Q,1,0,0,0
28,7.8542,3,S,1,0,0,0
16,9.5,3,S,1,0,0,0
19,8.05,3,S,1,0,0,1
,26,1,S,1,0,0,0
33,8.6625,3,C,1,0,0,0
30,9.5,3,S,1,0,0,1
22,7.8958,3,S,1,0,0,0
42,13,2,S,1,0,0,1
22,7.75,3,Q,0,0,0,1
26,78.85,1,S,0,0,0,1
19,91.0792,1,C,0,0,1,1
36,12.875,2,C,1,0,0,0
24,8.85,3,S,0,0,0,0
24,7.8958,3,S,1,0,0,0
,27.7208,1,C,1,0,0,0
23.5,7.2292,3,C,1,0,0,0
2,151.55,1,S,0,2,1,0
,30.5,1,S,1,0,0,1
50,247.5208,1,C,0,1,0,1
,7.75,3,Q,0,0,0,1
,23.25,3,Q,1,0,2,1
19,0,3,S,1,0,0,0
,12.35,2,Q,0,0,0,1
,8.05,3,S,1,0,0,0
0.92,151.55,1,S,1,2,1,1
,110.8833,1,C,0,0,0,1
17,108.9,1,C,0,0,1,1
30,24,2,C,1,0,1,0
30,56.9292,1,C,0,0,0,1
24,83.1583,1,C,0,0,0,1
18,262.375,1,C,0,2,2,1
26,26,2,S,0,1,1,0
28,7.8958,3,S,1,0,0,0
43,26.25,2,S,1,1,1,0
26,7.8542,3,S,0,0,0,1
24,26,2,S,0,0,1,1
54,14,2,S,1,0,0,0
31,164.8667,1,S,0,2,0,1
40,134.5,1,C,0,1,1,1
22,7.25,3,S,1,0,0,0
27,7.8958,3,S,1,0,0,0
30,12.35,2,Q,0,0,0,1
22,29,2,S,0,1,1,1
,69.55,3,S,1,2,8,0
36,135.6333,1,C,0,0,0,1
61,6.2375,3,S,1,0,0,0
36,13,2,S,0,0,0,1
31,20.525,3,S,0,1,1,1
16,57.9792,1,C,0,1,0,1
,23.25,3,Q,0,0,2,1
45.5,28.5,1,S,1,0,0,0
38,153.4625,1,S,1,1,0,0
16,18,3,S,1,0,2,0
,133.65,1,S,0,0,1,1
,7.8958,3,S,1,0,0,0
29,66.6,1,S,1,0,1,0
41,134.5,1,C,0,0,0,1
45,8.05,3,S,1,0,0,1
45,35.5,1,S,1,0,0,0
2,26,2,S,1,1,1,1
24,263,1,S,0,2,3,1
28,13,2,S,1,0,0,0
25,13,2,S,1,0,0,0
36,13,2,S,1,0,0,0
24,13,2,S,0,0,0,1
40,13,2,S,0,0,0,1
,16.1,3,S,0,0,1,1
3,15.9,3,S,1,1,1,1
42,8.6625,3,S,1,0,0,0
23,9.225,3,S,1,0,0,0
,35,1,S,1,0,0,0
15,7.2292,3,C,1,1,1,0
25,17.8,3,S,1,0,1,0
,7.225,3,C,1,0,0,0
28,9.5,3,S,1,0,0,0
22,55,1,S,0,1,0,1
38,13,2,S,0,0,0,0
,7.8792,3,Q,0,0,0,1
,7.8792,3,Q,0,0,0,1
40,27.9,3,S,1,4,1,0
29,27.7208,2,C,1,0,1,0
45,14.4542,3,C,0,1,0,0
35,7.05,3,S,1,0,0,0
,15.5,3,Q,1,0,1,0
30,7.25,3,S,1,0,0,0
60,75.25,1,C,0,0,1,1
,7.2292,3,C,0,0,0,1
,7.75,3,Q,0,0,0,1
24,69.3,1,C,0,0,0,1
25,55.4417,1,C,1,0,1,1
18,6.4958,3,S,1,0,1,0
19,8.05,3,S,1,0,0,0
22,135.6333,1,C,1,0,0,0
3,21.075,3,S,0,1,3,0
,82.1708,1,C,0,0,1,1
22,7.25,3,S,0,0,0,1
27,211.5,1,C,1,2,0,0
20,4.0125,3,C,1,0,0,0
19,7.775,3,S,1,0,0,0
42,227.525,1,C,0,0,0,1
1,15.7417,3,C,0,2,0,1
32,7.925,3,S,1,0,0,0
35,52,1,S,0,0,1,1
,7.8958,3,S,1,0,0,0
18,73.5,2,S,1,0,0,0
1,46.9,3,S,1,2,5,0
36,13,2,S,0,0,0,1
,7.7292,3,Q,1,0,0,0
17,12,2,C,0,0,0,1
36,120,1,S,1,2,1,1
21,7.7958,3,S,1,0,0,1
28,7.925,3,S,1,0,2,0
23,113.275,1,C,0,0,1,1
24,16.7,3,S,0,2,0,1
22,7.7958,3,S,1,0,0,0
31,7.8542,3,S,0,0,0,0
46,26,2,S,1,0,0,0
23,10.5,2,S,1,0,0,0
28,12.65,2,S,0,0,0,1
39,7.925,3,S,1,0,0,1
26,8.05,3,S,1,0,0,0
21,9.825,3,S,0,0,1,0
28,15.85,3,S,1,0,1,0
20,8.6625,3,S,0,0,0,0
34,21,2,S,1,0,1,0
51,7.75,3,S,1,0,0,0
3,18.75,2,S,1,1,1,1
21,7.775,3,S,1,0,0,0
,25.4667,3,S,0,1,3,0
,7.8958,3,S,1,0,0,0
,6.8583,3,Q,1,0,0,0
33,90,1,Q,0,0,1,1
,0,2,S,1,0,0,0
44,7.925,3,S,1,0,0,1
,8.05,3,S,0,0,0,0
34,32.5,2,S,0,1,1,1
18,13,2,S,0,2,0,1
30,13,2,S,1,0,0,0
10,24.15,3,S,0,2,0,0
,7.8958,3,C,1,0,0,0
21,7.7333,3,Q,1,0,0,0
29,7.875,3,S,1,0,0,0
28,14.4,3,S,0,1,1,0
18,20.2125,3,S,1,1,1,0
,7.25,3,S,1,0,0,0
28,26,2,S,0,0,1,1
19,26,2,S,0,0,0,1
,7.75,3,Q,1,0,0,0
32,8.05,3,S,1,0,0,1
28,26.55,1,S,1,0,0,1
,16.1,3,S,0,0,1,1
42,26,2,S,0,0,1,1
17,7.125,3,S,1,0,0,0
50,55.9,1,S,1,0,1,0
14,120,1,S,0,2,1,1
21,34.375,3,S,0,2,2,0
24,18.75,2,S,0,3,2,1
64,263,1,S,1,4,1,0
31,10.5,2,S,1,0,0,0
45,26.25,2,S,0,1,1,1
20,9.5,3,S,1,0,0,0
25,7.775,3,S,1,0,1,0
28,13,2,S,0,0,0,1
,8.1125,3,S,1,0,0,1
